id,order_id,product_id,price,quantity
1,1001,P100,25.50,2
2,1001,P101,10.00,1
3,1002,P102,15.75,3
4,1002,P100,25.50,1
5,1003,P103,50.00,1
6,1004,P101,10.00,5
,1004,P104,8.25,2
8,1006,P100,25.50,2
9,1006,P105,12.00,1
10,1007,P102,15.75,2
11,1008,P103,50.00,1
12,1008,P101,10.00,3
13,1009,P104,8.25,4
14,1011,P100,25.50,1
15,1011,P105,12.00,2
16,1012,P102,15.75,1
17,1013,P103,50.00,2
18,1013,P101,10.00,1
19,1014,P104,8.25,3
20,1015,P100,25.50,2
21,1015,P105,12.00,1
22,1016,P102,15.75,4
23,1017,P103,50.00,1
24,1017,P101,10.00,2
25,1018,P104,8.25,1
26,1018,P100,25.50,3
27,1009,P105,12.00,2
28,1012,P100,25.50,2
