order_id,customer_id,order_date,status
1001,C001,2024-01-05,placed
1002,C002,2024-01-06,shipped
1003,C001,2024-01-07,completed
1004,C003,2024-01-08,placed
,C004,2024-01-09,shipped
1006,C002,2024-01-10,completed
1007,C005,2024-01-11,cancelled
1008,C001,2024-01-12,returned
1009,C006,2024-01-13,placed
,C007,2024-01-14,placed
1011,C003,2024-01-15,shipped
1012,C004,2024-01-16,completed
1013,C002,2024-01-17,placed
1014,C008,2024-01-18,returned
1015,C001,2024-01-19,shipped
1016,C009,2024-01-20,completed
1017,C005,2024-01-21,placed
1018,C006,2024-01-22,shipped
